,entity_id,name,category_code,status,country_code,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,Average_inevstment_time
167355,55910,EditDNS,network_hosting,1,unknown,,,0,0,,,0,0,,,0,0,50.0
167358,55913,Rimage,other,1,USA,01/01/2011,01/01/2011,1,1,25/10/2011,25/10/2011,1,13185000,31/08/2010,31/08/2010,1,2,0.0
167381,55935,NEBOTRADE,biotech,0,HUN,,,0,0,28/03/2005,28/03/2005,1,300000,,,0,0,50.0
167404,5596,MediaRush,web,0,GBR,,,0,0,,,0,0,,,0,1,50.0
167421,55975,General Instrument,unknown,1,USA,,,0,0,,,0,0,01/07/1998,01/07/1998,1,14,50.0
167429,55982,Health Discovery,biotech,1,USA,,,0,0,,,0,0,,,0,2,50.0
167434,55987,Oncothyreon,biotech,1,USA,,,0,0,24/09/2010,30/05/2013,3,64900000,,,0,3,50.0
167436,55989,King Pharmaceuticals,biotech,1,USA,,,0,0,,,0,0,01/01/2009,01/01/2009,1,6,50.0
167441,55994,Inspire Pharmaceuticals,biotech,1,USA,,,0,0,,,0,0,01/01/1995,01/01/1995,1,8,50.0
167442,55995,MethylGene,biotech,1,CAN,,,0,0,11/09/2011,21/11/2012,2,60625730,16/09/2010,16/09/2010,1,3,50.0
167447,56,Hyphen 8,web,0,USA,,,0,0,01/10/2007,01/10/2007,1,100000,06/12/2007,21/03/2013,3,1,50.0
167450,56001,Georgia Duplicating Products,other,1,USA,,,0,0,,,0,0,,,0,0,50.0
167453,56004,RealMed,biotech,1,USA,,,0,0,,,0,0,01/01/1999,01/01/1999,1,3,50.0
167456,56007,Ascent Solar Technologies,cleantech,1,USA,,,0,0,29/08/2011,08/08/2013,3,16360000,01/01/2008,30/10/2013,2,5,50.0
167457,56008,Heartland Payment Systems,consulting,1,USA,30/09/2013,04/10/2013,2,2,,,0,0,01/01/2012,01/01/2012,1,4,0.0
167458,56009,Discover Financial Services,other,1,USA,25/05/2012,25/05/2012,1,1,,,0,0,01/01/2007,01/01/2007,1,10,0.0
167484,56038,OpenDesk Corporation,unknown,0,CAN,,,0,0,,,0,0,01/01/2013,18/08/2013,2,1,50.0
167497,56051,DealPop,ecommerce,1,USA,,,0,0,,,0,0,01/06/2011,01/06/2011,1,1,50.0
167513,56068,MongoMusic,unknown,1,unknown,,,0,0,,,0,0,01/01/1999,01/01/1999,1,3,50.0
167515,5607,Fliqz,games_video,1,USA,,,0,0,01/01/2006,01/01/2009,3,12200000,01/01/2009,22/02/2011,2,9,50.0
167520,56075,Bolt | Peters,other,1,USA,,,0,0,,,0,0,08/01/2002,24/05/2012,2,1,50.0
167526,56080,Journey Education Marketing,other,1,USA,,,0,0,,,0,0,,,0,2,50.0
167543,56097,Pokelabo,software,1,unknown,,,0,0,,,0,0,,,0,0,50.0
167546,561,Yeigo,mobile,1,ZAF,,,0,0,,,0,0,20/11/2007,19/01/2011,3,1,50.0
167563,56115,Atos Origin,enterprise,1,USA,,,0,0,,,0,0,16/11/2008,16/11/2008,1,7,50.0
167566,56119,PlacePunch,unknown,1,unknown,,,0,0,,,0,0,01/05/2010,08/09/2010,2,2,50.0
167570,56122,Fablistic,web,0,USA,,,0,0,01/01/2009,01/01/2009,1,0,01/08/2009,01/01/2011,2,1,50.0
167580,56131,RedPrairie,enterprise,1,USA,,,0,0,,,0,0,11/10/2011,01/01/2012,2,5,50.0
167586,56137,Engana Pty,hardware,0,AUS,,,0,0,26/09/2005,26/09/2005,1,6100000,,,0,0,50.0
167587,56138,Unsubscribe.com,web,1,USA,,,0,0,01/05/2010,21/10/2010,2,2100000,12/09/2010,23/06/2011,2,4,50.0
167593,56143,Whole Optics,public_relations,0,ISR,,,0,0,15/05/2005,15/05/2005,1,5000000,,,0,0,50.0
167598,56148,Moverati,games_video,0,USA,,,0,0,01/01/2010,01/01/2010,1,2150000,,,0,0,50.0
167619,56169,IT Trading,software,0,USA,,,0,0,06/09/2010,06/09/2010,1,3200000,,,0,1,50.0
167620,5617,"MeetMe, Inc.",web,1,USA,,,0,0,29/01/2007,29/07/2008,2,17100000,09/07/2008,14/11/2012,4,16,50.0
167628,56177,Intrepid,advertising,1,GBR,,,0,0,,,0,0,07/02/2013,07/02/2013,1,0,50.0
167629,56178,Intellicheck Mobilisa,hardware,1,USA,,,0,0,30/09/2010,30/09/2010,1,500000,20/04/2012,20/04/2012,1,4,50.0
167630,56179,I3 Advisors,consulting,1,CAN,,,0,0,,,0,0,,,0,1,50.0
167632,56180,Canvas On Demand,web,1,USA,,,0,0,,,0,0,,,0,0,50.0
167633,56181,Commercial Data Processing,enterprise,1,USA,,,0,0,,,0,0,,,0,0,50.0
167640,56188,Encore Productions,other,1,USA,,,0,0,,,0,0,,,0,2,50.0
167647,56194,Warner Technology(HK),hardware,0,CHN,,,0,0,,,0,0,,,0,0,50.0
167675,5622,Yandex,search,1,RUS,27/09/2010,29/09/2011,3,3,01/04/2000,01/04/2000,1,5300000,15/01/2013,13/11/2013,3,29,0.33
167680,56225,Virtual Sands,mobile,0,ARG,,,0,0,,,0,0,01/01/2009,01/01/2009,1,1,50.0
167695,5624,Moikrug,web,1,unknown,,,0,0,,,0,0,,,0,0,50.0
167699,56244,Fantastic Zero,games_video,1,DEU,,,0,0,,,0,0,,,0,0,50.0
167702,56247,GetGlue,social,1,USA,,,0,0,01/01/2007,11/01/2012,4,24000000,18/06/2013,05/11/2013,2,13,50.0
167736,56281,Neural Communicator,other,1,unknown,,,0,0,,,0,0,,,0,0,50.0
167750,56294,Technitrol,hardware,1,USA,,,0,0,03/09/2010,03/09/2010,1,42352200,,,0,1,50.0
167762,56306,CitizenLocal,web,1,unknown,,,0,0,,,0,0,01/04/2010,01/04/2010,1,2,50.0
167774,5632,StarNet Interactive,web,1,ISR,,,0,0,21/12/2006,21/12/2006,1,2700000,01/01/1996,01/01/1996,1,2,50.0
167775,56320,OpenCal,web,1,CAN,,,0,0,,,0,0,01/11/2010,19/03/2012,2,4,50.0
167800,56346,ARM,unknown,1,GBR,20/08/2013,20/08/2013,1,1,,,0,0,01/01/1997,27/08/2013,2,3,0.0
167811,56359,Akella,software,0,RUS,,,0,0,01/11/2005,04/10/2010,2,18705000,,,0,0,50.0
167812,56360,Amtec,unknown,0,USA,,,0,0,23/09/2005,23/09/2005,1,5000000,,,0,0,50.0
167832,5638,About.com,web,1,USA,,,0,0,,,0,0,01/07/2013,16/07/2013,2,45,50.0
167851,56398,Austin-Tetra,unknown,1,USA,,,0,0,23/06/2005,23/06/2005,1,3500000,,,0,0,50.0
167853,564,Netblue,web,1,USA,,,0,0,,,0,0,,,0,10,50.0
167864,56409,AssetMetrix Corporation,software,1,CAN,,,0,0,02/02/2005,02/02/2005,1,3000000,,,0,1,50.0
167865,5641,Business.com,web,1,USA,,,0,0,,,0,0,15/08/2011,01/03/2013,2,35,50.0
167875,56419,Reaxion Corporation,games_video,1,USA,,,0,0,05/09/2005,05/09/2005,1,2000000,,,0,0,50.0
167895,56442,Lighting Science Group,cleantech,1,USA,,,0,0,05/05/2010,16/09/2013,4,203116726,02/06/2011,17/12/2012,3,14,50.0
167905,56452,Phyworks,semiconductor,1,GBR,,,0,0,,,0,0,09/01/2005,09/01/2005,1,6,50.0
167913,56460,Albumprinter,software,1,NLD,,,0,0,,,0,0,01/06/2005,24/10/2011,2,2,50.0
167928,56478,RippleFunction,advertising,0,USA,,,0,0,01/05/2010,01/05/2010,1,20000,01/10/2010,01/10/2010,1,3,50.0
167939,56488,Revistronic,games_video,0,ESP,,,0,0,18/01/2005,18/01/2005,1,1960000,,,0,0,50.0
167952,565,ACTIVE Network,software,1,USA,,,0,0,01/09/1999,15/02/2011,9,219378750,19/05/2009,28/09/2012,4,28,50.0
