,entity_id,name,category_code,status,country_code,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,Average_inevstment_time
1,10,Flektor,games_video,1,USA,,,0,0,,,0,0,,,0,6,50.0
2,100,There,games_video,1,USA,,,0,0,,,0,0,01/02/2003,23/09/2011,4,12,50.0
13,1001,FriendFeed,web,1,USA,,,0,0,26/02/2008,26/02/2008,1,5000000,01/05/2008,13/09/2012,3,14,50.0
16,10012,moviestring.com,games_video,0,unknown,,,0,0,,,0,0,,,0,1,50.0
18,10014,Mobclix,mobile,1,USA,,,0,0,01/09/2008,01/09/2008,1,0,01/03/1995,18/09/2012,4,9,50.0
42,100265,Coastal Supply Company,unknown,1,unknown,,,0,0,,,0,0,01/01/1998,01/01/1998,1,1,50.0
56,1004,Tioti,games_video,1,USA,,,0,0,,,0,0,24/04/2008,17/09/2013,3,2,50.0
63,10049,INNCOM,hardware,1,USA,,,0,0,,,0,0,,,0,1,50.0
66,10054,Jumptap,mobile,1,USA,,,0,0,01/03/2005,02/07/2012,7,121500000,19/01/2012,13/08/2013,3,45,50.0
70,100589,Datum,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
72,1006,Youlicit,web,0,USA,,,0,0,01/01/2008,01/01/2008,1,0,,,0,5,50.0
75,10062,Workstir,web,0,USA,,,0,0,01/06/2009,01/06/2009,1,0,12/11/2008,01/04/2009,2,4,50.0
81,1007,Rupture,games_video,1,USA,,,0,0,01/07/2007,01/07/2007,1,3000000,01/09/2007,25/08/2012,2,6,50.0
82,100704,Cactus Commerce,unknown,1,CAN,,,0,0,,,0,0,,,0,0,50.0
89,100735,TelPlexus,unknown,1,USA,,,0,0,,,0,0,,,0,0,50.0
107,100840,RepliWeb,software,1,USA,,,0,0,,,0,0,,,0,0,50.0
110,100844,Attunity,software,1,USA,,,0,0,01/06/2004,21/09/2011,4,10500000,14/02/2012,14/02/2012,1,1,50.0
111,10085,Compaq,hardware,1,USA,01/09/1999,01/09/1999,1,1,,,0,0,01/01/2002,01/01/2002,1,91,0.0
120,10092,FairSoftware,web,0,USA,,,0,0,01/01/2007,01/01/2007,1,100000,16/01/2009,16/01/2009,1,1,50.0
124,100937,Toytown Germany,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
132,100991,Zerigo,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
133,101,SellABand,games_video,0,DEU,,,0,0,08/04/2008,08/04/2008,1,5000000,10/03/2008,10/05/2012,5,3,50.0
136,10104,Galaxy,software,0,USA,,,0,0,,,0,0,06/10/2013,06/10/2013,1,2,50.0
139,10106,Thomson Reuters,public_relations,1,USA,,,0,0,,,0,0,08/06/2010,29/04/2013,4,100,50.0
151,10116,HammerKit,web,0,FIN,,,0,0,19/01/2012,19/01/2012,1,1613875,,,0,3,50.0
152,10117,Blogcritics,web,1,USA,,,0,0,,,0,0,26/08/2008,26/08/2008,1,3,50.0
170,101312,SideTour,web,1,USA,,,0,0,01/07/2011,25/03/2013,3,4000000,01/07/2012,18/09/2013,2,7,50.0
177,101340,ChoicePass,enterprise,1,USA,,,0,0,01/07/2011,01/07/2011,1,250000,01/07/2011,01/07/2011,1,2,50.0
181,10137,Producteev,software,1,USA,,,0,0,15/07/2008,01/02/2010,3,1310000,01/01/2011,21/05/2013,2,12,50.0
184,10139,TradeCard,enterprise,1,USA,,,0,0,19/04/2006,15/03/2013,2,44925050,01/03/1999,01/03/1999,1,5,50.0
189,1014,FlexiScale,network_hosting,1,GBR,,,0,0,,,0,0,03/10/2007,03/10/2007,1,4,50.0
193,101436,HeyPal,ecommerce,1,SGP,,,0,0,,,0,0,01/09/2011,01/09/2011,1,2,50.0
210,101519,Vidacare,hardware,1,USA,,,0,0,21/01/2010,21/01/2010,1,274999,,,0,4,50.0
213,10153,"ITOG, Inc.",network_hosting,0,USA,,,0,0,11/02/2008,11/02/2008,1,205000,,,0,1,50.0
216,10154,PicMe,software,0,USA,,,0,0,,,0,0,,,0,1,50.0
221,10158,StudioNow,photo_video,1,USA,,,0,0,15/06/2007,29/01/2013,3,15286415,28/09/2010,28/09/2010,1,2,50.0
231,10166,Acxiom,software,1,USA,29/10/2009,29/10/2009,1,1,,,0,0,01/05/2012,27/02/2013,2,27,0.0
235,10169,sarvaMAIL,security,0,USA,,,0,0,16/06/2008,16/06/2008,1,250000,,,0,0,50.0
236,1017,earthmine,enterprise,1,USA,,,0,0,01/01/2007,01/01/2007,1,0,,,0,3,50.0
237,10170,VideoSurf,hardware,1,USA,,,0,0,01/01/2011,01/01/2011,1,28000000,01/01/2011,23/11/2011,3,7,50.0
240,10175,My Best Interest,software,0,USA,,,0,0,10/05/2008,10/05/2008,1,375000,,,0,3,50.0
243,10176,Yammer,enterprise,1,USA,,,0,0,19/01/2009,29/02/2012,5,142000000,12/01/2012,18/11/2013,3,38,50.0
247,10179,GoodGuide,web,1,USA,,,0,0,19/01/2009,26/08/2011,3,14229998,18/05/2010,17/02/2011,3,14,50.0
264,101859,FaceTags,photo_video,0,unknown,,,0,0,17/05/2011,17/05/2011,1,15000,,,0,1,50.0
280,101920,Name That Beer iPhone App,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
288,101944,OneLouder,mobile,1,USA,,,0,0,,,0,0,21/07/2011,20/05/2013,2,4,50.0
293,10197,PostPath,web,1,USA,,,0,0,07/12/2004,16/01/2007,2,24300000,01/01/2005,08/03/2013,3,2,50.0
295,10198,LOC pages,web,1,unknown,,,0,0,,,0,0,,,0,0,50.0
296,10199,Where I've Been,travel,1,USA,,,0,0,15/03/2008,15/04/2010,2,1750000,01/01/2007,14/04/2010,2,3,50.0
298,10200,Swype,software,1,USA,,,0,0,02/04/2009,12/07/2011,5,13900000,16/07/2009,23/04/2013,3,5,50.0
303,10202,Alfabetic,advertising,1,ISR,,,0,0,,,0,0,,,0,2,50.0
305,10204,Marketbright,software,1,USA,,,0,0,01/08/2008,13/04/2010,2,0,01/06/2008,16/02/2012,3,5,50.0
317,1021,Mixaloo,games_video,0,USA,,,0,0,01/03/2007,01/03/2007,1,0,09/10/2007,04/11/2013,2,2,50.0
322,10215,Zeep Mobile,mobile,1,unknown,,,0,0,,,0,0,24/03/2010,24/03/2010,1,3,50.0
323,102155,Smartpunk,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
332,1022,Zipidee,ecommerce,0,USA,,,0,0,14/10/2007,14/10/2007,1,0,16/11/2005,05/05/2012,3,1,50.0
337,10222,Hitachi,public_relations,1,JPN,03/11/2013,03/11/2013,1,1,,,0,0,09/12/2009,23/08/2013,3,44,0.0
340,10223,ExpertSpeakers.net,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
355,10232,Unilever,other,1,PAK,,,0,0,,,0,0,12/08/2011,01/01/2013,2,59,50.0
369,10241,Global Crossing,public_relations,1,USA,,,0,0,01/03/1997,01/03/1997,1,41000000,01/01/2009,11/04/2011,2,16,50.0
370,102413,gopogo,social,0,USA,,,0,0,26/04/2012,26/04/2012,1,3000000,,,0,2,50.0
383,102498,DAD,advertising,1,GBR,01/12/2009,01/12/2009,1,1,,,0,0,,,0,0,0.0
387,10252,Mob.ly,mobile,1,USA,,,0,0,01/03/2008,01/03/2008,1,1100000,01/01/2008,05/05/2010,2,3,50.0
389,10253,iWeb Technologies,network_hosting,1,CAN,,,0,0,26/06/2006,27/08/2008,6,33521974,,,0,4,50.0
393,102572,"Sensing System, Inc",unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
394,102573,"Mobile Video Services, Inc",unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
395,102574,Data Collection Ltd,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
396,102575,"Peak Performance Technologies, Inc",unknown,1,unknown,,,0,0,,,0,0,,,0,1,50.0
397,102576,House of Moves LLC,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
417,102689,IRIDAS,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
418,10269,Nifty,web,1,JPN,,,0,0,,,0,0,,,0,0,50.0
426,10273,Angstro,software,1,USA,,,0,0,01/05/2007,01/05/2007,1,225000,,,0,4,50.0
441,102795,"Frame Channel, Inc.",unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
450,102849,Golfsmith,unknown,1,USA,,,0,0,18/09/2013,18/09/2013,1,125000000,01/05/2000,01/05/2000,1,1,50.0
456,102867,WeHostels,travel,1,USA,,,0,0,18/03/2012,18/03/2012,1,1200000,01/06/2012,02/08/2013,3,9,50.0
461,102898,Tasted Menu,hospitality,0,USA,,,0,0,01/05/2011,01/05/2011,1,0,01/01/2011,01/01/2011,1,3,50.0
473,102922,easyOwn.it,ecommerce,0,CHE,,,0,0,01/05/2011,01/05/2011,1,138000,15/12/2011,01/05/2012,2,7,50.0
475,102933,mobintent,advertising,0,USA,,,0,0,01/07/2011,01/07/2011,1,0,,,0,0,50.0
484,10299,HY-TEK Sports Software,software,1,USA,,,0,0,,,0,0,,,0,0,50.0
486,1030,CityTherapy,web,1,GBR,,,0,0,01/10/2006,01/10/2006,1,0,,,0,2,50.0
494,10308,Klatcher,web,0,USA,,,0,0,13/12/2007,13/12/2007,1,150000,01/01/2008,01/01/2008,1,1,50.0
504,103145,AnyCoupons,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
511,103204,PlayerDuel,mobile,0,USA,,,0,0,05/09/2011,13/06/2012,2,21189,01/01/2011,01/01/2011,1,2,50.0
535,103343,KitchMe,web,1,unknown,,,0,0,,,0,0,21/03/2013,21/03/2013,1,4,50.0
541,10338,Aventure Host,network_hosting,1,GBR,,,0,0,,,0,0,,,0,9,50.0
556,10345,IFT Tomatoes,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
579,10356,Ciao,web,1,DEU,,,0,0,,,0,0,01/01/2001,21/12/2011,2,2,50.0
616,10378,artandseek,other,0,USA,,,0,0,27/06/2007,27/06/2007,1,50000,,,0,2,50.0
645,10392,Intela,advertising,1,USA,,,0,0,18/01/2010,09/08/2012,2,13250000,31/08/2010,09/10/2013,4,4,50.0
647,103924,Centiv Services,unknown,1,USA,,,0,0,,,0,0,,,0,0,50.0
648,10393,Spare Change Payments,web,1,USA,,,0,0,01/01/2008,01/01/2008,1,509412,16/07/2009,16/07/2009,1,3,50.0
659,10398,Picateers,web,0,USA,,,0,0,01/01/2006,25/08/2008,2,12100000,01/07/2008,01/07/2008,1,10,50.0
735,104193,Solutionary,security,1,USA,,,0,0,29/11/2011,29/11/2011,1,0,,,0,8,50.0
737,104196,Ascension Orthopedics,biotech,1,USA,,,0,0,20/07/2011,20/07/2011,1,18664050,,,0,2,50.0
738,104198,Integra LifeSciences Holdings,biotech,1,USA,,,0,0,,,0,0,01/01/2010,01/01/2010,1,5,50.0
739,1042,Whiskey Media,web,1,USA,,,0,0,24/03/2009,31/12/2009,2,4000000,31/12/2009,31/12/2009,1,6,50.0
742,10421,TurnTide,unknown,1,unknown,,,0,0,01/01/2003,01/01/2003,1,750000,01/01/2004,01/01/2004,1,4,50.0
758,1043,VoodooVox,mobile,1,USA,,,0,0,02/08/2005,08/02/2013,3,9650000,01/01/2010,28/12/2011,4,13,50.0
778,10437,Propertyshark,ecommerce,1,USA,,,0,0,,,0,0,01/06/2006,01/06/2006,1,3,50.0
779,104377,Tremor Video,advertising,1,USA,,,0,0,01/03/2006,12/09/2011,8,116400000,01/12/2011,23/05/2013,3,24,50.0
786,10440,ICUC Moderation Services,software,1,CAN,,,0,0,,,0,0,,,0,1,50.0
815,104481,iyiyes,search,0,BEN,,,0,0,,,0,0,,,0,0,50.0
822,1045,TV Links,games_video,0,GBR,,,0,0,,,0,0,24/10/2007,10/08/2012,2,0,50.0
827,10452,Image Space Media,advertising,1,USA,,,0,0,19/01/2010,30/12/2010,2,3915000,01/01/2010,24/10/2011,2,9,50.0
828,10453,Bankrate,web,1,USA,,,0,0,,,0,0,22/07/2009,01/06/2011,3,5,50.0
830,10454,SearchRev,advertising,1,USA,,,0,0,,,0,0,,,0,1,50.0
836,10455,AKQA,advertising,1,USA,06/06/2013,06/06/2013,1,1,,,0,0,01/08/2012,01/11/2012,2,20,0.0
847,104591,MPC Data,software,1,GBR,,,0,0,,,0,0,,,0,0,50.0
861,104619,TargetRx,unknown,1,USA,,,0,0,,,0,0,01/01/2006,01/01/2006,1,2,50.0
885,1047,CondoDomain,web,1,USA,,,0,0,01/06/2005,01/06/2005,1,250000,,,0,4,50.0
897,10475,Abbott Labs,biotech,1,USA,30/01/2007,27/11/2007,2,2,15/03/2011,15/03/2011,1,100000,01/01/2009,19/08/2013,2,66,0.0
907,10477,North Sky,web,1,USA,,,0,0,,,0,0,,,0,0,50.0
912,104788,Shoes4you,ecommerce,0,unknown,,,0,0,01/09/2011,01/09/2011,1,0,01/08/2011,01/08/2011,1,5,50.0
914,10479,Vantagenet,web,1,unknown,,,0,0,,,0,0,,,0,2,50.0
915,1048,SnapLayout,network_hosting,0,USA,,,0,0,01/05/2007,01/05/2007,1,650000,10/10/2007,14/04/2013,3,3,50.0
916,10480,Big Stage,web,1,USA,,,0,0,01/03/2007,14/04/2009,2,10600000,01/07/2008,08/10/2013,3,6,50.0
936,104846,Peers,web,0,unknown,,,0,0,,,0,0,,,0,0,50.0
938,10485,GE Healthcare,biotech,1,unknown,07/11/2011,11/12/2012,2,2,,,0,0,01/01/2012,26/11/2013,2,60,0.5
941,10486,Intraware,software,1,USA,,,0,0,,,0,0,01/01/2006,01/01/2006,1,8,50.0
953,1049,Confabb,web,0,USA,,,0,0,01/08/2007,01/08/2007,1,200000,24/09/2007,24/09/2007,1,3,50.0
963,10493,Mirial,software,1,ITA,,,0,0,,,0,0,,,0,0,50.0
977,104988,EmPower Research,unknown,1,USA,,,0,0,,,0,0,,,0,0,50.0
982,105,Surphace,web,1,USA,,,0,0,01/04/2005,01/05/2006,2,3500000,02/02/2008,17/10/2013,4,15,50.0
986,105004,iSuggest,mobile,0,USA,,,0,0,,,0,0,,,0,0,50.0
987,105005,Rundown,web,0,USA,,,0,0,28/09/2011,28/09/2011,1,0,,,0,4,50.0
990,10502,RSS Mixer,mobile,0,unknown,,,0,0,,,0,0,,,0,0,50.0
1001,10507,RealEstate.com,other,1,USA,,,0,0,,,0,0,,,0,7,50.0
1015,10512,Mimosa Systems,software,1,USA,,,0,0,05/12/2005,12/01/2010,6,53816776,,,0,8,50.0
1036,10519,Divvy Systems,web,0,USA,,,0,0,,,0,0,10/09/2008,14/06/2013,2,2,50.0
1054,105222,Yuku,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1058,105244,College Media Network,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1063,105263,GixPRO,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1064,105264,Totalcare,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1065,105265,Mips Global,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1066,105266,Symbioun Technologies Pvt Ltd,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1068,10527,DebtMarket,finance,1,unknown,,,0,0,19/06/2007,03/03/2011,4,4046884,18/10/2010,01/05/2012,2,8,50.0
1078,1053,Uptake,web,1,USA,,,0,0,21/11/2006,18/09/2008,3,14000000,01/03/2007,17/10/2013,4,11,50.0
1085,105326,Epixis,biotech,1,FRA,,,0,0,,,0,0,,,0,1,50.0
1093,10535,VoodooPC,unknown,1,unknown,,,0,0,,,0,0,,,0,1,50.0
1120,10545,LRAD Corporation,semiconductor,1,USA,,,0,0,,,0,0,17/08/2011,17/08/2011,1,2,50.0
1131,10547,SimpleLeap Software,software,0,USA,,,0,0,,,0,0,,,0,3,50.0
1133,10548,M6 Communication Applications Server,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1151,105519,Hoppit,search,1,USA,,,0,0,01/07/2012,01/07/2012,1,500000,17/09/2013,17/09/2013,1,6,50.0
1169,105605,Energy Control Systems Engineering,hardware,1,USA,,,0,0,,,0,0,,,0,0,50.0
1218,10581,Lolapps,web,1,USA,,,0,0,05/09/2008,05/09/2008,1,4000000,01/12/2010,23/03/2012,3,15,50.0
1237,1059,Dotspotter,web,1,USA,,,0,0,,,0,0,01/09/2006,24/01/2012,3,1,50.0
1246,10594,Weightview,web,1,USA,,,0,0,,,0,0,21/02/2012,21/02/2012,1,0,50.0
1256,106,iContact,messaging,1,USA,,,0,0,01/05/2006,30/08/2010,5,53350000,13/07/2010,02/08/2012,5,20,50.0
1257,1060,DocSyncer,web,0,USA,,,0,0,,,0,0,16/06/2008,13/05/2013,3,1,50.0
1262,10604,Internet Brands,web,1,USA,,,0,0,,,0,0,01/04/2010,30/05/2012,4,21,50.0
1274,10610,Geodelic Systems,mobile,0,USA,,,0,0,01/12/2008,23/09/2010,3,10500000,01/06/2010,23/09/2010,3,8,50.0
1281,10614,Inuvo,advertising,1,USA,,,0,0,19/01/2010,19/01/2010,1,4200000,01/06/2010,01/03/2012,3,17,50.0
1285,10616,Positive Networks,unknown,1,USA,,,0,0,25/09/2007,25/09/2007,1,2350000,,,0,1,50.0
1287,10617,Litmus Media,software,1,USA,,,0,0,,,0,0,,,0,2,50.0
1294,106205,XCite,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1308,1063,YuMe,advertising,1,USA,,,0,0,01/08/2006,23/05/2012,8,72900000,13/10/2010,01/03/2013,4,28,50.0
1315,106325,Bixti.com,ecommerce,1,ARG,,,0,0,01/09/2011,01/09/2011,1,20000,,,0,0,50.0
1322,106349,Wabeebwa,web,0,USA,,,0,0,17/08/2011,17/08/2011,1,5000,17/08/2011,17/08/2011,1,3,50.0
1326,10637,iFavr,other,0,USA,,,0,0,,,0,0,,,0,1,50.0
1333,10640,Valid,web,0,unknown,,,0,0,,,0,0,,,0,3,50.0
1338,10643,Fusion Garage,hardware,0,unknown,,,0,0,12/11/2010,12/11/2010,1,6500000,11/12/2009,11/12/2009,1,1,50.0
1356,10656,HighSchoolAlumni.com,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1358,10657,Planet Alumni User Data,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1359,10658,MyAddressBook.com,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1362,1066,Genentech,biotech,1,USA,01/05/2007,01/06/2012,3,3,,,0,0,,,0,127,1.67
1363,106601,GlucoTec,software,0,unknown,,,0,0,13/01/2011,19/09/2011,3,10370000,,,0,2,50.0
1374,1067,AdReady,advertising,1,USA,,,0,0,01/07/2007,19/06/2012,4,17807000,,,0,26,50.0
1379,10672,Listen.com,unknown,1,USA,01/04/2011,01/04/2011,1,1,,,0,0,01/11/2000,01/11/2000,1,12,0.0
1388,106778,Collaborative Fusion,web,1,USA,,,0,0,,,0,0,,,0,0,50.0
1390,106788,Retail Eyes,ecommerce,1,GBR,,,0,0,,,0,0,01/01/2003,01/01/2003,1,1,50.0
1400,10686,TechTV,unknown,1,unknown,,,0,0,,,0,0,01/01/2003,01/01/2003,1,11,50.0
1406,1069,Mochi Media,advertising,1,USA,,,0,0,12/03/2008,18/06/2008,2,14000000,01/11/2008,04/01/2013,4,17,50.0
1412,106939,BackupMyTree,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1421,107,MeeVee,games_video,1,USA,,,0,0,01/02/2005,01/09/2007,4,25000000,01/01/2000,03/03/2013,3,7,50.0
1422,1070,Eloqua,enterprise,1,USA,,,0,0,01/09/2006,01/10/2007,2,35800000,24/08/2011,17/10/2013,4,26,50.0
1426,10704,Chegg,education,1,USA,,,0,0,01/01/2007,01/04/2012,10,252303692,01/06/2012,13/11/2013,3,42,50.0
1434,1071,Ancestry,ecommerce,1,USA,,,0,0,01/09/1999,01/08/2010,3,333200000,03/08/2009,01/06/2013,5,38,50.0
1435,107103,Ensynch,consulting,1,USA,,,0,0,,,0,0,,,0,1,50.0
1439,10713,Backcountry.com,ecommerce,1,USA,,,0,0,,,0,0,01/02/2011,01/01/2013,2,14,50.0
1467,10730,eVoice,unknown,1,USA,,,0,0,,,0,0,01/01/2000,01/01/2000,1,6,50.0
1469,10731,3Com,web,1,USA,,,0,0,,,0,0,28/09/2007,18/12/2009,3,103,50.0
1482,1074,Slush Pile Reader,web,0,USA,,,0,0,,,0,0,,,0,1,50.0
1483,10740,holidaylettings.co.uk,other,1,GBR,,,0,0,,,0,0,,,0,0,50.0
1493,10751,Pixelpipe,mobile,0,USA,,,0,0,01/01/2007,25/04/2011,2,2300000,11/09/2011,29/08/2013,3,4,50.0
1516,10771,Spinner.com,web,1,unknown,,,0,0,,,0,0,01/12/1997,30/04/2013,3,7,50.0
1518,10772,Status,web,0,unknown,,,0,0,,,0,0,01/10/2013,01/10/2013,1,0,50.0
1521,107746,Meridian,enterprise,1,USA,,,0,0,14/09/2011,30/08/2012,2,1975000,01/01/1997,15/05/2013,2,6,50.0
1525,1078,The Climate Corporation,cleantech,1,USA,,,0,0,01/01/2007,14/06/2012,4,108900000,13/07/2012,01/01/2013,2,28,50.0
1540,10795,Finjan,enterprise,1,USA,,,0,0,08/02/2006,25/11/2013,3,32000000,01/04/2013,01/04/2013,1,13,50.0
1545,108,blinkx,games_video,1,USA,,,0,0,,,0,0,01/12/2012,05/08/2013,3,21,50.0
1557,10807,cmypitch,network_hosting,0,unknown,,,0,0,,,0,0,,,0,2,50.0
1562,1081,Platial,network_hosting,0,USA,,,0,0,01/10/2005,01/02/2007,2,3400000,01/09/2005,09/12/2013,3,4,50.0
1565,108113,buyster,unknown,1,AUS,,,0,0,,,0,0,,,0,0,50.0
1568,10814,MafiaMob.TV,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1569,10815,Steel Wars,unknown,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1572,10818,AUPEO!,web,1,DEU,,,0,0,20/01/2009,20/01/2009,1,0,22/08/2009,02/11/2010,2,5,50.0
1574,1082,Tabblo,web,1,USA,,,0,0,01/01/2006,01/01/2006,1,4000000,01/06/2005,17/10/2007,2,3,50.0
1577,10821,youcalc,enterprise,1,DNK,,,0,0,01/06/2003,01/01/2008,3,3840000,01/02/2007,17/10/2010,2,4,50.0
1601,10848,Metismo,mobile,1,GBR,,,0,0,,,0,0,,,0,4,50.0
1605,10851,Apptism,games_video,1,unknown,,,0,0,,,0,0,,,0,0,50.0
1609,10855,TeleTech,software,1,USA,,,0,0,,,0,0,01/01/2012,01/01/2012,1,14,50.0
1610,10856,nCircle Network Security,software,1,USA,,,0,0,21/05/2007,22/12/2010,2,6000999,,,0,9,50.0
1611,10857,Getfugu,software,0,USA,,,0,0,29/12/2009,29/12/2009,1,800000,01/01/2010,13/04/2010,2,3,50.0
1617,10864,FetchBack,advertising,1,USA,,,0,0,01/01/2008,01/01/2008,1,1000000,01/06/2010,14/11/2011,2,13,50.0
1622,10873,The Society,web,0,USA,,,0,0,01/01/2007,01/06/2008,2,1500000,,,0,3,50.0
1630,1088,Tumblr,web,1,USA,,,0,0,31/10/2007,01/01/2012,6,125250000,16/02/2010,03/12/2013,5,30,50.0
1634,108847,Julpan,unknown,1,USA,,,0,0,,,0,0,01/06/2010,01/06/2010,1,3,50.0
1643,10893,AppVee,mobile,1,USA,,,0,0,,,0,0,30/10/2010,30/10/2010,1,1,50.0
1651,109,Mashery,enterprise,1,USA,,,0,0,01/01/2007,23/07/2012,6,34700000,18/05/2010,03/12/2013,4,37,50.0
1652,1090,Radar Networks,advertising,1,USA,,,0,0,01/04/2006,01/11/2009,4,24000000,01/01/2007,31/07/2013,2,17,50.0
1666,10913,ConSentry Networks,network_hosting,0,USA,,,0,0,18/07/2005,19/01/2009,3,46400000,01/01/2006,01/01/2006,1,11,50.0
1669,10915,LogLogic,security,1,USA,,,0,0,26/05/2009,26/05/2009,1,8800000,25/05/2009,13/11/2013,3,15,50.0
1676,1092,Dash,mobile,1,USA,,,0,0,01/01/2006,01/02/2008,3,65000000,01/02/2006,15/10/2013,3,18,50.0
1682,10923,For Art's Sake Media,web,0,unknown,,,0,0,01/01/2008,01/01/2008,1,100000,,,0,2,50.0
1685,10926,Aruba Networks,unknown,1,USA,,,0,0,30/10/2006,06/06/2012,3,45000003,01/07/2009,01/12/2009,2,12,50.0
1686,10928,Sentient Networks,public_relations,1,USA,,,0,0,,,0,0,01/01/1996,01/01/1996,1,6,50.0
1688,1093,Picnik,web,1,USA,,,0,0,,,0,0,11/01/2010,03/01/2012,2,9,50.0
1689,10930,Telera,software,0,USA,,,0,0,03/09/1998,02/11/2000,4,0,01/01/2002,01/01/2002,1,13,50.0
1715,10956,Metranome,mobile,0,CAN,,,0,0,23/12/2008,23/12/2008,1,2000000,,,0,0,50.0
1735,10969,Semantra,software,0,USA,,,0,0,01/09/2006,22/07/2008,3,9100000,,,0,0,50.0
1750,10976,MoVoxx,mobile,1,USA,,,0,0,30/10/2008,30/10/2008,1,0,01/09/2008,10/05/2010,2,14,50.0
1764,10985,iSyndicate,unknown,1,unknown,,,0,0,,,0,0,01/03/1999,01/03/1999,1,5,50.0
1787,110,Buzzster!,web,1,USA,,,0,0,,,0,0,08/05/2009,10/09/2012,4,2,50.0
1790,11001,inTALK,mobile,1,USA,,,0,0,,,0,0,,,0,1,50.0
1791,11002,ColorPlaza,web,1,CHE,,,0,0,01/01/2007,01/01/2007,1,2970000,,,0,0,50.0
1792,11003,flauntR,web,1,CHE,,,0,0,,,0,0,09/09/2008,09/09/2008,1,5,50.0
1814,1102,Chirp Interactive,web,1,USA,,,0,0,01/01/2008,01/01/2008,1,0,,,0,3,50.0
1825,11033,Qpyn,mobile,0,GBR,,,0,0,15/09/2008,15/09/2008,1,891177,,,0,6,50.0
1838,11042,Gowalla,web,1,USA,,,0,0,27/02/2008,28/01/2010,3,10400001,22/06/2010,15/07/2013,3,21,50.0
1846,11048,IMDB,web,1,USA,,,0,0,,,0,0,03/05/2010,01/01/2012,4,10,50.0
1847,1105,Wix,web,1,ISR,,,0,0,01/12/2007,28/03/2011,4,58500000,01/09/2010,05/11/2013,4,12,50.0
1852,110548,Nukona,enterprise,1,USA,,,0,0,21/09/2011,21/09/2011,1,0,01/08/2010,01/08/2010,1,3,50.0
1863,11065,DirectMoney,public_relations,0,AUS,,,0,0,01/12/2006,01/12/2006,1,98000,,,0,2,50.0
1870,1107,JackBe,software,1,USA,,,0,0,10/01/2006,08/04/2010,4,24500000,23/10/2007,03/02/2013,5,15,50.0
1875,11073,Ziva Software,mobile,0,IND,,,0,0,14/03/2007,14/03/2007,1,1700000,,,0,1,50.0
1880,110754,KMDM,unknown,1,USA,,,0,0,,,0,0,01/01/2008,01/01/2008,1,2,50.0
1882,110782,GoAhead Software,software,1,USA,,,0,0,,,0,0,01/01/2010,01/01/2010,1,6,50.0
1887,11082,F5 Networks,other,1,USA,,,0,0,,,0,0,11/11/2009,11/02/2013,2,24,50.0
1899,11094,OnVantage,software,1,USA,,,0,0,17/01/2006,17/01/2006,1,18000000,,,0,0,50.0
1913,111026,eat.shop guides,unknown,1,USA,,,0,0,,,0,0,,,0,0,50.0
1917,11106,Vidiac,games_video,1,unknown,,,0,0,,,0,0,01/04/2004,01/04/2004,1,3,50.0
1921,1111,EchoSign,web,1,USA,,,0,0,01/10/2005,01/10/2007,2,8500000,01/03/2010,01/02/2011,3,8,50.0
1940,11131,BuyDomains,unknown,1,unknown,,,0,0,,,0,0,,,0,1,50.0
1941,11132,AfterNic,unknown,1,USA,,,0,0,,,0,0,01/01/1999,01/01/1999,1,2,50.0
1942,11133,Visionary Networks,games_video,1,USA,,,0,0,,,0,0,,,0,0,50.0
